locus_tag	ftype	length_bp	gene	EC_number	COG	product
GCF_000154045.1_ASM15404v1_01596	CDS	276				hypothetical protein
GCF_000154045.1_ASM15404v1_01597	CDS	657				hypothetical protein
GCF_000154045.1_ASM15404v1_01598	CDS	975				hypothetical protein
GCF_000154045.1_ASM15404v1_01599	CDS	804				hypothetical protein
GCF_000154045.1_ASM15404v1_01600	CDS	720	fabG_2	1.1.1.100		3-oxoacyl-[acyl-carrier-protein] reductase FabG
GCF_000154045.1_ASM15404v1_01601	CDS	591				hypothetical protein
GCF_000154045.1_ASM15404v1_01602	CDS	1479				hypothetical protein
GCF_000154045.1_ASM15404v1_01603	CDS	192	rcnR		COG1937	Transcriptional repressor RcnR
GCF_000154045.1_ASM15404v1_01604	CDS	351				hypothetical protein
GCF_000154045.1_ASM15404v1_01605	CDS	744				hypothetical protein
GCF_000154045.1_ASM15404v1_01606	CDS	663				hypothetical protein
GCF_000154045.1_ASM15404v1_01607	CDS	189				hypothetical protein
GCF_000154045.1_ASM15404v1_01608	CDS	534	yyaP		COG0262	putative protein YyaP
GCF_000154045.1_ASM15404v1_01609	CDS	567				hypothetical protein
GCF_000154045.1_ASM15404v1_01610	CDS	858	yghU	1.8.4.-	COG0625	Disulfide-bond oxidoreductase YghU
GCF_000154045.1_ASM15404v1_01611	CDS	273				hypothetical protein
GCF_000154045.1_ASM15404v1_01612	CDS	1170	dacA_2	3.4.16.4	COG1686	D-alanyl-D-alanine carboxypeptidase DacA
GCF_000154045.1_ASM15404v1_01613	CDS	405				hypothetical protein
GCF_000154045.1_ASM15404v1_01614	CDS	474	PGdx_2	1.11.1.15	COG0678	Hybrid peroxiredoxin hyPrx5
GCF_000154045.1_ASM15404v1_01615	CDS	1014		3.5.4.2	COG1816	Adenine deaminase
GCF_000154045.1_ASM15404v1_01616	CDS	141				hypothetical protein
GCF_000154045.1_ASM15404v1_01617	CDS	210				hypothetical protein
GCF_000154045.1_ASM15404v1_01618	CDS	213	cspV		COG1278	Cold shock protein CspV
GCF_000154045.1_ASM15404v1_01619	CDS	849				hypothetical protein
GCF_000154045.1_ASM15404v1_01620	CDS	849				hypothetical protein
GCF_000154045.1_ASM15404v1_01621	CDS	918	czcD		COG1230	Cadmium, cobalt and zinc/H(+)-K(+) antiporter
GCF_000154045.1_ASM15404v1_01622	CDS	417				hypothetical protein
GCF_000154045.1_ASM15404v1_01623	CDS	129				hypothetical protein
GCF_000154045.1_ASM15404v1_01624	CDS	375				hypothetical protein
GCF_000154045.1_ASM15404v1_01625	CDS	432	yccF		COG3304	Inner membrane protein YccF
GCF_000154045.1_ASM15404v1_01626	CDS	687				hypothetical protein
GCF_000154045.1_ASM15404v1_01627	CDS	336				hypothetical protein
GCF_000154045.1_ASM15404v1_01628	CDS	150				hypothetical protein
GCF_000154045.1_ASM15404v1_01629	CDS	936	yceM	1.-.-.-	COG0673	Putative oxidoreductase YceM
GCF_000154045.1_ASM15404v1_01630	CDS	1656	eptA	2.7.-.-	COG2194	Phosphoethanolamine transferase EptA
GCF_000154045.1_ASM15404v1_01631	CDS	324	dgkA_1	2.7.1.107	COG0818	Diacylglycerol kinase
GCF_000154045.1_ASM15404v1_01632	CDS	390				hypothetical protein
GCF_000154045.1_ASM15404v1_01633	CDS	1287	rcsC_2	2.7.13.3		Sensor histidine kinase RcsC
GCF_000154045.1_ASM15404v1_01634	CDS	714	rstA_2		COG0745	Transcriptional regulatory protein RstA
GCF_000154045.1_ASM15404v1_01635	CDS	720		1.-.-.-		putative oxidoreductase
GCF_000154045.1_ASM15404v1_01636	CDS	297				hypothetical protein
GCF_000154045.1_ASM15404v1_01637	CDS	255				hypothetical protein
GCF_000154045.1_ASM15404v1_01638	CDS	600	dsbA_1		COG0526	Thiol:disulfide interchange protein DsbA
GCF_000154045.1_ASM15404v1_01639	CDS	246				hypothetical protein
GCF_000154045.1_ASM15404v1_01640	CDS	447				hypothetical protein
GCF_000154045.1_ASM15404v1_01641	CDS	546	btuE	1.11.1.15		Thioredoxin/glutathione peroxidase BtuE
GCF_000154045.1_ASM15404v1_01642	CDS	657	ribB	4.1.99.12	COG0108	3,4-dihydroxy-2-butanone 4-phosphate synthase
GCF_000154045.1_ASM15404v1_01643	CDS	618				hypothetical protein
GCF_000154045.1_ASM15404v1_01644	CDS	1854	aas	6.2.1.20		Bifunctional protein Aas
GCF_000154045.1_ASM15404v1_01645	CDS	759				hypothetical protein
GCF_000154045.1_ASM15404v1_01646	CDS	639	yedJ_1		COG1418	putative protein YedJ
GCF_000154045.1_ASM15404v1_01647	CDS	183				hypothetical protein
GCF_000154045.1_ASM15404v1_01648	CDS	1278	codA	3.5.4.1	COG0402	Cytosine deaminase
GCF_000154045.1_ASM15404v1_01649	CDS	1239	codB		COG1457	Cytosine permease
GCF_000154045.1_ASM15404v1_01650	CDS	1347	mgtE_2		COG2239	Magnesium transporter MgtE
GCF_000154045.1_ASM15404v1_01651	CDS	1323	ubiB_1	2.7.-.-		protein kinase UbiB
GCF_000154045.1_ASM15404v1_01652	CDS	714				hypothetical protein
GCF_000154045.1_ASM15404v1_01653	CDS	1437	gabR		COG1167	HTH-type transcriptional regulatory protein GabR
GCF_000154045.1_ASM15404v1_01654	CDS	1263	yjeH		COG0531	L-methionine/branched-chain amino acid exporter YjeH
GCF_000154045.1_ASM15404v1_01655	CDS	456	lrp_3		COG1522	Leucine-responsive regulatory protein
GCF_000154045.1_ASM15404v1_01656	CDS	873	yidZ_3			HTH-type transcriptional regulator YidZ
GCF_000154045.1_ASM15404v1_01657	CDS	615	rhtC_1		COG1280	Threonine efflux protein
GCF_000154045.1_ASM15404v1_01658	CDS	222				hypothetical protein
GCF_000154045.1_ASM15404v1_01659	CDS	1434	gap2	1.2.1.-		Glyceraldehyde-3-phosphate dehydrogenase-like protein
GCF_000154045.1_ASM15404v1_01660	CDS	2637	rcsC_3	2.7.13.3		Sensor histidine kinase RcsC
GCF_000154045.1_ASM15404v1_01661	CDS	978	iolU	1.1.1.371	COG0673	scyllo-inositol 2-dehydrogenase (NADP(+)) IolU
GCF_000154045.1_ASM15404v1_01662	CDS	1338	mepA_1		COG0534	Multidrug export protein MepA
GCF_000154045.1_ASM15404v1_01663	CDS	315				hypothetical protein
GCF_000154045.1_ASM15404v1_01664	CDS	114				hypothetical protein
GCF_000154045.1_ASM15404v1_01665	CDS	219				hypothetical protein
GCF_000154045.1_ASM15404v1_01666	CDS	651				hypothetical protein
GCF_000154045.1_ASM15404v1_01667	CDS	321				hypothetical protein
GCF_000154045.1_ASM15404v1_01668	CDS	1098	luxP		COG1879	Autoinducer 2-binding periplasmic protein LuxP
GCF_000154045.1_ASM15404v1_01669	CDS	2577	luxQ_2	2.7.13.3		Autoinducer 2 sensor kinase/phosphatase LuxQ
GCF_000154045.1_ASM15404v1_01670	CDS	456	slyA_1		COG1846	Transcriptional regulator SlyA
GCF_000154045.1_ASM15404v1_01671	CDS	1056	mdtN		COG1566	Multidrug resistance protein MdtN
GCF_000154045.1_ASM15404v1_01672	CDS	1038				hypothetical protein
GCF_000154045.1_ASM15404v1_01673	CDS	663				hypothetical protein
GCF_000154045.1_ASM15404v1_01674	CDS	927				hypothetical protein
GCF_000154045.1_ASM15404v1_01675	CDS	450	lrp_4		COG1522	Leucine-responsive regulatory protein
GCF_000154045.1_ASM15404v1_01676	CDS	624				hypothetical protein
GCF_000154045.1_ASM15404v1_01677	CDS	549				hypothetical protein
GCF_000154045.1_ASM15404v1_01678	CDS	672				hypothetical protein
GCF_000154045.1_ASM15404v1_01679	CDS	480				hypothetical protein
GCF_000154045.1_ASM15404v1_01680	CDS	1839	secD_2		COG0342	Protein translocase subunit SecD
GCF_000154045.1_ASM15404v1_01681	CDS	903	secF_1		COG0341	Protein translocase subunit SecF
GCF_000154045.1_ASM15404v1_01682	CDS	267				hypothetical protein
GCF_000154045.1_ASM15404v1_01683	CDS	552	rhtB_3		COG1280	Homoserine/homoserine lactone efflux protein
GCF_000154045.1_ASM15404v1_01684	CDS	741	phaB	1.1.1.36		Acetoacetyl-CoA reductase
GCF_000154045.1_ASM15404v1_01685	CDS	1212	phaA	2.3.1.9	COG0183	Acetyl-CoA acetyltransferase
GCF_000154045.1_ASM15404v1_01686	CDS	348				hypothetical protein
GCF_000154045.1_ASM15404v1_01687	CDS	1776	phaC	2.3.1.-	COG3243	Poly(3-hydroxyalkanoate) polymerase subunit PhaC
GCF_000154045.1_ASM15404v1_01688	CDS	135				hypothetical protein
GCF_000154045.1_ASM15404v1_01689	CDS	579	napC_1		COG3005	Cytochrome c-type protein NapC
GCF_000154045.1_ASM15404v1_01690	CDS	459				hypothetical protein
GCF_000154045.1_ASM15404v1_01691	CDS	2490	napA_1	1.9.6.1		Periplasmic nitrate reductase
GCF_000154045.1_ASM15404v1_01692	CDS	309	napD			Chaperone NapD
GCF_000154045.1_ASM15404v1_01693	CDS	486	napF_1		COG1145	Ferredoxin-type protein NapF
GCF_000154045.1_ASM15404v1_01694	CDS	1737	narQ	2.7.13.3		Nitrate/nitrite sensor protein NarQ
GCF_000154045.1_ASM15404v1_01695	CDS	639	narL_2		COG2197	Nitrate/nitrite response regulator protein NarL
GCF_000154045.1_ASM15404v1_01696	CDS	174				hypothetical protein
GCF_000154045.1_ASM15404v1_01697	CDS	864				hypothetical protein
GCF_000154045.1_ASM15404v1_01698	CDS	1230	pepT_1	3.4.11.4	COG2195	Peptidase T
GCF_000154045.1_ASM15404v1_01699	CDS	465				hypothetical protein
GCF_000154045.1_ASM15404v1_01700	CDS	1128	bepF_1			Efflux pump periplasmic linker BepF
GCF_000154045.1_ASM15404v1_01701	CDS	3153	bepG			Efflux pump membrane transporter BepG
GCF_000154045.1_ASM15404v1_01702	CDS	1770				hypothetical protein
GCF_000154045.1_ASM15404v1_01703	CDS	414	arfB	3.1.1.29	COG1186	Peptidyl-tRNA hydrolase ArfB
GCF_000154045.1_ASM15404v1_01704	CDS	603	yqaB	3.1.3.-	COG0637	Fructose-1-phosphate phosphatase YqaB
GCF_000154045.1_ASM15404v1_01705	CDS	990	ompA_5			Outer membrane protein A
GCF_000154045.1_ASM15404v1_01706	CDS	1053	aroG	2.5.1.54	COG0722	Phospho-2-dehydro-3-deoxyheptonate aldolase, Phe-sensitive
GCF_000154045.1_ASM15404v1_01707	CDS	1389	aer_1		COG0840	Aerotaxis receptor
GCF_000154045.1_ASM15404v1_01708	CDS	1992	tktA_1	2.2.1.1	COG0021	Transketolase 1
GCF_000154045.1_ASM15404v1_01709	CDS	951	talB	2.2.1.2	COG0176	Transaldolase B
GCF_000154045.1_ASM15404v1_01710	CDS	1002	deoR		COG2390	Deoxyribonucleoside regulator
GCF_000154045.1_ASM15404v1_01711	CDS	1293	chiA_2	3.2.1.14		Chitinase A
GCF_000154045.1_ASM15404v1_01712	CDS	2256				hypothetical protein
GCF_000154045.1_ASM15404v1_01713	CDS	831	sseA	2.8.1.2	COG2897	3-mercaptopyruvate sulfurtransferase
GCF_000154045.1_ASM15404v1_01714	CDS	453				hypothetical protein
GCF_000154045.1_ASM15404v1_01715	CDS	2112				hypothetical protein
GCF_000154045.1_ASM15404v1_01716	CDS	750	moeB	2.7.7.80	COG0476	Molybdopterin-synthase adenylyltransferase
GCF_000154045.1_ASM15404v1_01717	CDS	1236	moeA	2.10.1.1	COG0303	Molybdopterin molybdenumtransferase
GCF_000154045.1_ASM15404v1_01718	CDS	654	folE	3.5.4.16	COG0302	GTP cyclohydrolase 1
GCF_000154045.1_ASM15404v1_01719	CDS	1239				hypothetical protein
GCF_000154045.1_ASM15404v1_01720	CDS	966				hypothetical protein
GCF_000154045.1_ASM15404v1_01721	CDS	1404	clcA		COG0038	H(+)/Cl(-) exchange transporter ClcA
GCF_000154045.1_ASM15404v1_01722	CDS	579				hypothetical protein
GCF_000154045.1_ASM15404v1_01723	CDS	408				hypothetical protein
GCF_000154045.1_ASM15404v1_01724	CDS	909	ydhF_1	1.-.-.-	COG4989	Oxidoreductase YdhF
GCF_000154045.1_ASM15404v1_01725	CDS	1005	cheB_1	3.5.1.44		Protein-glutamate methylesterase/protein-glutamine glutaminase
GCF_000154045.1_ASM15404v1_01726	CDS	438				hypothetical protein
GCF_000154045.1_ASM15404v1_01727	CDS	1542	nnr		COG0062	Bifunctional NAD(P)H-hydrate repair enzyme Nnr
GCF_000154045.1_ASM15404v1_01728	CDS	1047	guaC	1.7.1.7	COG0516	GMP reductase
GCF_000154045.1_ASM15404v1_01729	CDS	2034	acs_2	6.2.1.1	COG0365	Acetyl-coenzyme A synthetase
GCF_000154045.1_ASM15404v1_01730	CDS	927	etfA		COG2025	Electron transfer flavoprotein subunit alpha
GCF_000154045.1_ASM15404v1_01731	CDS	753	etfB			Electron transfer flavoprotein subunit beta
GCF_000154045.1_ASM15404v1_01732	CDS	1659		1.5.5.1	COG0644	Electron transfer flavoprotein-ubiquinone oxidoreductase
GCF_000154045.1_ASM15404v1_01733	CDS	801	lptB_2	3.6.3.-	COG1137	Lipopolysaccharide export system ATP-binding protein LptB
GCF_000154045.1_ASM15404v1_01734	CDS	1953		6.2.1.3	COG1022	Long-chain-fatty-acid--CoA ligase FadD15
GCF_000154045.1_ASM15404v1_01735	CDS	894	livH_1		COG0559	High-affinity branched-chain amino acid transport system permease protein LivH
GCF_000154045.1_ASM15404v1_01736	CDS	1068				hypothetical protein
GCF_000154045.1_ASM15404v1_01737	CDS	1245				hypothetical protein
GCF_000154045.1_ASM15404v1_01738	CDS	822	livF		COG0410	High-affinity branched-chain amino acid transport ATP-binding protein LivF
GCF_000154045.1_ASM15404v1_01739	CDS	1203	paaK	6.2.1.30		Phenylacetate-coenzyme A ligase
GCF_000154045.1_ASM15404v1_01740	CDS	603	tpm_1	2.1.1.67		Thiopurine S-methyltransferase
GCF_000154045.1_ASM15404v1_01741	CDS	417				hypothetical protein
GCF_000154045.1_ASM15404v1_01742	CDS	663				hypothetical protein
GCF_000154045.1_ASM15404v1_01743	CDS	1314	msrP	1.8.5.-		Protein-methionine-sulfoxide reductase catalytic subunit MsrP
GCF_000154045.1_ASM15404v1_01744	CDS	357	adhR		COG0789	HTH-type transcriptional regulator AdhR
GCF_000154045.1_ASM15404v1_01745	CDS	378				hypothetical protein
GCF_000154045.1_ASM15404v1_01746	CDS	756				hypothetical protein
GCF_000154045.1_ASM15404v1_01747	CDS	129				hypothetical protein
GCF_000154045.1_ASM15404v1_01748	CDS	1008	appB	7.1.1.3	COG1294	Cytochrome bd-II ubiquinol oxidase subunit 2
GCF_000154045.1_ASM15404v1_01749	CDS	1365	cydA_1	7.1.1.7	COG1271	Cytochrome bd-I ubiquinol oxidase subunit 1
GCF_000154045.1_ASM15404v1_01750	CDS	1422	norG_2		COG1167	HTH-type transcriptional regulator NorG
GCF_000154045.1_ASM15404v1_01751	CDS	549	maa_1	2.3.1.79	COG0110	Maltose O-acetyltransferase
GCF_000154045.1_ASM15404v1_01752	CDS	867				hypothetical protein
GCF_000154045.1_ASM15404v1_01753	CDS	327				hypothetical protein
GCF_000154045.1_ASM15404v1_01754	CDS	918				hypothetical protein
GCF_000154045.1_ASM15404v1_01755	CDS	2622	rcsC_4	2.7.13.3		Sensor histidine kinase RcsC
GCF_000154045.1_ASM15404v1_01756	CDS	903	liuE_2	4.1.3.26	COG0119	3-hydroxy-3-isohexenylglutaryl-CoA/hydroxy-methylglutaryl-CoA lyase
GCF_000154045.1_ASM15404v1_01757	CDS	2061	accA1		COG4770	Acetyl-/propionyl-coenzyme A carboxylase alpha chain
GCF_000154045.1_ASM15404v1_01758	CDS	729		4.1.2.41		Hydroxycinnamoyl-CoA hydratase-lyase
GCF_000154045.1_ASM15404v1_01759	CDS	1608		2.1.3.1	COG4799	Methylmalonyl-CoA carboxyltransferase 12S subunit
GCF_000154045.1_ASM15404v1_01760	CDS	1170	mmgC_1	1.3.99.-	COG1960	Acyl-CoA dehydrogenase
GCF_000154045.1_ASM15404v1_01761	CDS	387	zntR_1		COG0789	HTH-type transcriptional regulator ZntR
GCF_000154045.1_ASM15404v1_01762	CDS	1179	thlA_1	2.3.1.9	COG0183	Acetyl-CoA acetyltransferase
GCF_000154045.1_ASM15404v1_01763	CDS	1494	mmsA_2	1.2.1.27	COG1012	Methylmalonate-semialdehyde dehydrogenase [acylating]
GCF_000154045.1_ASM15404v1_01764	CDS	1155	acdA_2	1.3.99.-	COG1960	Acyl-CoA dehydrogenase
GCF_000154045.1_ASM15404v1_01765	CDS	777	paaF_1	4.2.1.17	COG1024	2,3-dehydroadipyl-CoA hydratase
GCF_000154045.1_ASM15404v1_01766	CDS	1131	menB_2	4.1.3.36		1,4-dihydroxy-2-naphthoyl-CoA synthase
GCF_000154045.1_ASM15404v1_01767	CDS	897	mmsB_2	1.1.1.31	COG2084	3-hydroxyisobutyrate dehydrogenase
GCF_000154045.1_ASM15404v1_01768	CDS	759	fabG_3	1.1.1.100		3-oxoacyl-[acyl-carrier-protein] reductase FabG
GCF_000154045.1_ASM15404v1_01769	CDS	2049				hypothetical protein
GCF_000154045.1_ASM15404v1_01770	CDS	600	betI		COG1309	HTH-type transcriptional regulator BetI
GCF_000154045.1_ASM15404v1_01771	CDS	1461	betB	1.2.1.8	COG1012	NAD/NADP-dependent betaine aldehyde dehydrogenase
GCF_000154045.1_ASM15404v1_01772	CDS	1746	betA	1.1.99.1	COG2303	Oxygen-dependent choline dehydrogenase
GCF_000154045.1_ASM15404v1_01773	CDS	939				hypothetical protein
GCF_000154045.1_ASM15404v1_01774	CDS	843	opuAB		COG4176	Glycine betaine transport system permease protein OpuAB
GCF_000154045.1_ASM15404v1_01775	CDS	1185	opuAA	7.6.2.9	COG4175	Glycine betaine transport ATP-binding protein OpuAA
GCF_000154045.1_ASM15404v1_01776	CDS	708		1.6.99.-	COG0778	Major NAD(P)H-flavin oxidoreductase
GCF_000154045.1_ASM15404v1_01777	CDS	429				hypothetical protein
GCF_000154045.1_ASM15404v1_01778	CDS	786				hypothetical protein
GCF_000154045.1_ASM15404v1_01779	CDS	1380				hypothetical protein
GCF_000154045.1_ASM15404v1_01780	CDS	2724				hypothetical protein
GCF_000154045.1_ASM15404v1_01781	CDS	228				hypothetical protein
GCF_000154045.1_ASM15404v1_01782	CDS	123				hypothetical protein
GCF_000154045.1_ASM15404v1_01783	CDS	963	ccpA	1.11.1.5	COG1858	Cytochrome c551 peroxidase
GCF_000154045.1_ASM15404v1_01784	CDS	2358	rcsC_5	2.7.13.3		Sensor histidine kinase RcsC
GCF_000154045.1_ASM15404v1_01785	CDS	474				hypothetical protein
GCF_000154045.1_ASM15404v1_01786	CDS	1011				hypothetical protein
GCF_000154045.1_ASM15404v1_01787	CDS	816				hypothetical protein
GCF_000154045.1_ASM15404v1_01788	tRNA	75				tRNA-Gly(tcc)
GCF_000154045.1_ASM15404v1_01789	CDS	519				hypothetical protein
GCF_000154045.1_ASM15404v1_01790	CDS	417				hypothetical protein
GCF_000154045.1_ASM15404v1_01791	CDS	678	yghB		COG0586	Inner membrane protein YghB
GCF_000154045.1_ASM15404v1_01792	CDS	324				hypothetical protein
GCF_000154045.1_ASM15404v1_01793	CDS	471				hypothetical protein
GCF_000154045.1_ASM15404v1_01794	CDS	642				hypothetical protein
GCF_000154045.1_ASM15404v1_01795	CDS	759	pfs	3.2.2.30	COG0775	Aminodeoxyfutalosine nucleosidase
GCF_000154045.1_ASM15404v1_01796	CDS	2364				hypothetical protein
GCF_000154045.1_ASM15404v1_01797	CDS	420	rbsD	5.4.99.62	COG1869	D-ribose pyranase
GCF_000154045.1_ASM15404v1_01798	CDS	1506	rbsA	7.5.2.7	COG1129	Ribose import ATP-binding protein RbsA
GCF_000154045.1_ASM15404v1_01799	CDS	984	rbsC		COG1172	Ribose import permease protein RbsC
GCF_000154045.1_ASM15404v1_01800	CDS	879	rbsB		COG1879	Ribose import binding protein RbsB
GCF_000154045.1_ASM15404v1_01801	CDS	918	rbsK_1	2.7.1.15	COG0524	Ribokinase
GCF_000154045.1_ASM15404v1_01802	CDS	1008	rbsR_2		COG1609	Ribose operon repressor
GCF_000154045.1_ASM15404v1_01803	CDS	219				hypothetical protein
GCF_000154045.1_ASM15404v1_01804	CDS	732	pnuC		COG3201	Nicotinamide riboside transporter PnuC
GCF_000154045.1_ASM15404v1_01805	CDS	732	udp_1	2.4.2.3	COG2820	Uridine phosphorylase
GCF_000154045.1_ASM15404v1_01806	CDS	345				hypothetical protein
GCF_000154045.1_ASM15404v1_01807	CDS	297				hypothetical protein
GCF_000154045.1_ASM15404v1_01808	CDS	669	mprA		COG0745	Response regulator MprA
GCF_000154045.1_ASM15404v1_01809	CDS	1242				hypothetical protein
GCF_000154045.1_ASM15404v1_01810	CDS	930				hypothetical protein
GCF_000154045.1_ASM15404v1_01811	CDS	1290	phoB_3	3.1.3.1	COG1785	Alkaline phosphatase 3
GCF_000154045.1_ASM15404v1_01812	CDS	456				hypothetical protein
GCF_000154045.1_ASM15404v1_01813	CDS	1779	aspA_1	3.4.21.-		Microbial serine proteinase
GCF_000154045.1_ASM15404v1_01814	CDS	342				hypothetical protein
GCF_000154045.1_ASM15404v1_01815	CDS	1914				hypothetical protein
GCF_000154045.1_ASM15404v1_01816	CDS	99				hypothetical protein
GCF_000154045.1_ASM15404v1_01817	CDS	1257	sdaC_1		COG0814	Serine transporter
GCF_000154045.1_ASM15404v1_01818	CDS	435				hypothetical protein
GCF_000154045.1_ASM15404v1_01819	CDS	2664	nasA_1	1.7.-.-		Nitrate reductase
GCF_000154045.1_ASM15404v1_01820	CDS	906	cysG_2		COG0007	Siroheme synthase
GCF_000154045.1_ASM15404v1_01821	CDS	954	trpD	2.4.2.18		Anthranilate phosphoribosyltransferase
GCF_000154045.1_ASM15404v1_01822	CDS	915				hypothetical protein
GCF_000154045.1_ASM15404v1_01823	CDS	582				hypothetical protein
GCF_000154045.1_ASM15404v1_01824	CDS	1365	cmpC	3.6.3.-		Bicarbonate transport ATP-binding protein CmpC
GCF_000154045.1_ASM15404v1_01825	CDS	966	nrtB		COG0600	Nitrate import permease protein NrtB
GCF_000154045.1_ASM15404v1_01826	CDS	837	nrtD	7.3.2.4	COG1116	Nitrate import ATP-binding protein NrtD
GCF_000154045.1_ASM15404v1_01827	CDS	2520	nasD_1	1.7.1.4	COG1251	Nitrite reductase [NAD(P)H]
GCF_000154045.1_ASM15404v1_01828	CDS	336	nirD_1	1.7.1.15	COG2146	Nitrite reductase (NADH) small subunit
GCF_000154045.1_ASM15404v1_01829	CDS	405				hypothetical protein
GCF_000154045.1_ASM15404v1_01830	CDS	606				hypothetical protein
GCF_000154045.1_ASM15404v1_01831	CDS	615	dcmA	4.5.1.3		Dichloromethane dehalogenase
GCF_000154045.1_ASM15404v1_01832	CDS	261				hypothetical protein
GCF_000154045.1_ASM15404v1_01833	CDS	1221	rssB_1			Regulator of RpoS
GCF_000154045.1_ASM15404v1_01834	CDS	495	spoIIAB	2.7.11.1		Anti-sigma F factor
GCF_000154045.1_ASM15404v1_01835	CDS	192				hypothetical protein
GCF_000154045.1_ASM15404v1_01836	CDS	336				hypothetical protein
GCF_000154045.1_ASM15404v1_01837	CDS	1536				hypothetical protein
GCF_000154045.1_ASM15404v1_01838	CDS	2142	pknD_1	2.7.11.1		Serine/threonine-protein kinase PknD
GCF_000154045.1_ASM15404v1_01839	CDS	1197				hypothetical protein
GCF_000154045.1_ASM15404v1_01840	CDS	456				hypothetical protein
GCF_000154045.1_ASM15404v1_01841	CDS	1326				hypothetical protein
GCF_000154045.1_ASM15404v1_01842	CDS	1293				hypothetical protein
GCF_000154045.1_ASM15404v1_01843	CDS	3519				hypothetical protein
GCF_000154045.1_ASM15404v1_01844	CDS	696				hypothetical protein
GCF_000154045.1_ASM15404v1_01845	CDS	789	prpC_2	3.1.3.16	COG0631	Protein phosphatase PrpC
GCF_000154045.1_ASM15404v1_01846	CDS	1122				hypothetical protein
GCF_000154045.1_ASM15404v1_01847	CDS	531				hypothetical protein
GCF_000154045.1_ASM15404v1_01848	CDS	1494				hypothetical protein
GCF_000154045.1_ASM15404v1_01849	CDS	1521				hypothetical protein
GCF_000154045.1_ASM15404v1_01850	CDS	798				hypothetical protein
GCF_000154045.1_ASM15404v1_01851	CDS	465				hypothetical protein
GCF_000154045.1_ASM15404v1_01852	CDS	1824				hypothetical protein
GCF_000154045.1_ASM15404v1_01853	CDS	966				hypothetical protein
GCF_000154045.1_ASM15404v1_01854	CDS	2568	clpV1		COG0542	Protein ClpV1
GCF_000154045.1_ASM15404v1_01855	CDS	480				hypothetical protein
GCF_000154045.1_ASM15404v1_01856	CDS	1836	vgrG1	6.3.2.-	COG3501	Actin cross-linking toxin VgrG1
GCF_000154045.1_ASM15404v1_01857	CDS	291				hypothetical protein
GCF_000154045.1_ASM15404v1_01858	CDS	843				hypothetical protein
GCF_000154045.1_ASM15404v1_01859	CDS	1134	sbcD			Nuclease SbcCD subunit D
GCF_000154045.1_ASM15404v1_01860	CDS	3057	smc			Chromosome partition protein Smc
GCF_000154045.1_ASM15404v1_01861	CDS	381				hypothetical protein
GCF_000154045.1_ASM15404v1_01862	CDS	525				hypothetical protein
GCF_000154045.1_ASM15404v1_01863	CDS	528				hypothetical protein
GCF_000154045.1_ASM15404v1_01864	CDS	522	blc		COG3040	Outer membrane lipoprotein Blc
GCF_000154045.1_ASM15404v1_01865	CDS	831	nimR			HTH-type transcriptional regulator NimR
GCF_000154045.1_ASM15404v1_01866	CDS	1125	ydhC_2			Inner membrane transport protein YdhC
GCF_000154045.1_ASM15404v1_01867	CDS	996	doeB_1	3.5.1.125	COG3608	N-alpha-acetyl-L-2,4-diaminobutyric acid deacetylase
GCF_000154045.1_ASM15404v1_01868	CDS	1533				hypothetical protein
GCF_000154045.1_ASM15404v1_01869	CDS	318				hypothetical protein
GCF_000154045.1_ASM15404v1_01870	CDS	1005	ltaE	4.1.2.48	COG2008	Low specificity L-threonine aldolase
GCF_000154045.1_ASM15404v1_01871	CDS	687				hypothetical protein
GCF_000154045.1_ASM15404v1_01872	CDS	1662	ravA	3.6.3.-	COG0714	ATPase RavA
GCF_000154045.1_ASM15404v1_01873	CDS	1455	viaA		COG2425	Protein ViaA
GCF_000154045.1_ASM15404v1_01874	CDS	870				hypothetical protein
GCF_000154045.1_ASM15404v1_01875	CDS	795	gltS_3		COG0786	Sodium/glutamate symporter
GCF_000154045.1_ASM15404v1_01876	CDS	255				hypothetical protein
GCF_000154045.1_ASM15404v1_01877	CDS	774				hypothetical protein
GCF_000154045.1_ASM15404v1_01878	CDS	297	ihfA_1		COG0776	Integration host factor subunit alpha
GCF_000154045.1_ASM15404v1_01879	CDS	879				hypothetical protein
GCF_000154045.1_ASM15404v1_01880	CDS	312	pheT_1	6.1.1.20	COG0072	Phenylalanine--tRNA ligase beta subunit
GCF_000154045.1_ASM15404v1_01881	CDS	1863	pheT_2	6.1.1.20	COG0072	Phenylalanine--tRNA ligase beta subunit
GCF_000154045.1_ASM15404v1_01882	CDS	984	pheS	6.1.1.20	COG0016	Phenylalanine--tRNA ligase alpha subunit
GCF_000154045.1_ASM15404v1_01883	CDS	654				hypothetical protein
GCF_000154045.1_ASM15404v1_01884	CDS	792				hypothetical protein
GCF_000154045.1_ASM15404v1_01885	CDS	2379				hypothetical protein
GCF_000154045.1_ASM15404v1_01886	CDS	789				hypothetical protein
GCF_000154045.1_ASM15404v1_01887	CDS	810				hypothetical protein
GCF_000154045.1_ASM15404v1_01888	CDS	318				hypothetical protein
GCF_000154045.1_ASM15404v1_01889	CDS	354	rplT		COG0292	50S ribosomal protein L20
GCF_000154045.1_ASM15404v1_01890	CDS	195	rpmI		COG0291	50S ribosomal protein L35
