#Organism Name,Organism Groups,Strain,BioSample,BioProject,Assembly,Level,Size(Mb),GC%,Replicons,WGS,Scaffolds,CDS,Release Date,GenBank FTP,RefSeq FTP
"Vibrio parahaemolyticus","Bacteria;Pseudomonadota;Gammaproteobacteria","C5_2","SAMN07338006","PRJNA393608","GCA_006373955.1","Contig",5.08481,45.3,,"NNLA01",138,4702,"2019-06-19T00:00:00Z",,"ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/006/373/955/GCF_006373955.1_ASM637395v1"
"Vibrio parahaemolyticus","Bacteria;Pseudomonadota;Gammaproteobacteria","F1_3","SAMN07338117","PRJNA393608","GCA_006371395.1","Contig",4.97503,45.3,,"NNGT01",93,4512,"2019-06-19T00:00:00Z",,"ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/006/371/395/GCF_006371395.1_ASM637139v1"
"Vibrio parahaemolyticus","Bacteria;Pseudomonadota;Gammaproteobacteria","MAVP-71","SAMN06917272","PRJNA263814","GCA_002221305.1","Contig",5.03748,45.3,,"NIXZ01",52,4465,"2017-07-18T00:00:00Z",,"ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/221/305/GCF_002221305.1_ASM222130v1"
"Vibrio parahaemolyticus","Bacteria;Pseudomonadota;Gammaproteobacteria","CFSAN007453","SAMN02741389","PRJNA245882","GCA_000707825.2","Contig",5.12476,45.2,,"JNTK02",46,4588,"2014-06-13T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/707/825/GCA_000707825.2_ASM70782v2","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/707/825/GCF_000707825.2_ASM70782v2"
"Vibrio parahaemolyticus","Bacteria;Pseudomonadota;Gammaproteobacteria","CFSAN025067","SAMN04145930","PRJNA245882","GCA_001633905.1","Contig",5.13098,45.2,,"LKQP01",45,4503,"2016-04-28T00:00:00Z",,"ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/633/905/GCF_001633905.1_ASM163390v1"
"Vibrio parahaemolyticus","Bacteria;Pseudomonadota;Gammaproteobacteria","C7_5","SAMN07338028","PRJNA393608","GCA_006373225.1","Contig",5.0695,45.2,,"NNKE01",143,4651,"2019-06-19T00:00:00Z",,"ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/006/373/225/GCF_006373225.1_ASM637322v1"
"Vibrio parahaemolyticus","Bacteria;Pseudomonadota;Gammaproteobacteria","CFSAN018764","SAMN03941072","PRJNA245882","GCA_001696145.1","Scaffold",5.13969,45.2,,"LHBG01",46,4582,"2016-07-28T00:00:00Z",,"ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/696/145/GCF_001696145.1_ASM169614v1"
"Vibrio parahaemolyticus","Bacteria;Pseudomonadota;Gammaproteobacteria","CDC_K4557","SAMN02368279","PRJNA273159","GCA_001727725.1","Contig",5.07402,45.3,,"MISR01",94,4522,"2016-09-15T00:00:00Z",,"ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/727/725/GCF_001727725.1_ASM172772v1"
"Vibrio parahaemolyticus","Bacteria;Pseudomonadota;Gammaproteobacteria","CFSAN007434","SAMN02741370","PRJNA245882","GCA_000707485.2","Contig",5.21714,45.2,,"JNSR02",42,4754,"2014-06-13T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/707/485/GCA_000707485.2_ASM70748v2","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/707/485/GCF_000707485.2_ASM70748v2"
"Vibrio parahaemolyticus","Bacteria;Pseudomonadota;Gammaproteobacteria","N10-18","SAMN26982638","PRJNA820182","GCA_030263075.1","Contig",4.91008,45.5,,"JALGSE01",70,4375,"2023-06-12T00:00:00Z",,
"Vibrio parahaemolyticus","Bacteria;Pseudomonadota;Gammaproteobacteria","Hep-2b-20","SAMN08810357","PRJNA446072","GCA_006124855.1","Contig",5.61817,44.7,,"PZOC01",53,5108,"2019-06-06T00:00:00Z",,"ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/006/124/855/GCF_006124855.1_ASM612485v1"
"Vibrio parahaemolyticus","Bacteria;Pseudomonadota;Gammaproteobacteria","VP161671","SAMEA112324431","PRJEB39490","GCA_948193295.1","Contig",5.24983,45.2,,"CANUIC01",53,0,"2023-01-14T00:00:00Z",,"ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/948/193/295/GCF_948193295.1_VP161671"
"Vibrio parahaemolyticus","Bacteria;Pseudomonadota;Gammaproteobacteria","ISF-64-3","SAMN28767315","PRJNA843723","GCA_024746335.1","Contig",5.12108,45.3,,"JANFUF01",40,4652,"2022-08-26T00:00:00Z",,"ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/024/746/335/GCF_024746335.1_ASM2474633v1"
"Vibrio parahaemolyticus","Bacteria;Pseudomonadota;Gammaproteobacteria","CDC_K4763","SAMN02368287","PRJNA273159","GCA_001727915.1","Contig",5.28707,45.1,,"MITC01",129,4772,"2016-09-15T00:00:00Z",,"ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/727/915/GCF_001727915.1_ASM172791v1"
"Vibrio parahaemolyticus","Bacteria;Pseudomonadota;Gammaproteobacteria","CDC_K4764D","SAMN02368288","PRJNA273159","GCA_001727975.1","Contig",5.27653,45.1,,"MITD01",114,4763,"2016-09-15T00:00:00Z",,"ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/727/975/GCF_001727975.1_ASM172797v1"
"Vibrio parahaemolyticus","Bacteria;Pseudomonadota;Gammaproteobacteria","CFSAN001603","SAMN03945132","PRJNA245882","GCA_002198075.1","Contig",5.093,45.3,,"LHRB01",56,4577,"2017-06-19T00:00:00Z",,"ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/198/075/GCF_002198075.1_ASM219807v1"
"Vibrio parahaemolyticus","Bacteria;Pseudomonadota;Gammaproteobacteria","N2-5","SAMN30942182","PRJNA882513","GCA_026162545.1","Contig",5.35231,45.3,,"JAODVT01",60,0,"2022-11-13T00:00:00Z",,"ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/026/162/545/GCF_026162545.1_ASM2616254v1"
"Vibrio parahaemolyticus","Bacteria;Pseudomonadota;Gammaproteobacteria","ISF-8-6","SAMN28767293","PRJNA843723","GCA_024746735.1","Contig",4.91774,45.5,,"JANFVB01",38,4409,"2022-08-26T00:00:00Z",,"ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/024/746/735/GCF_024746735.1_ASM2474673v1"
"Vibrio parahaemolyticus","Bacteria;Pseudomonadota;Gammaproteobacteria","GCSL_R33","SAMN02368236","PRJNA273159","GCA_001726435.1","Contig",5.0438,45.3,,"MIQX01",94,4484,"2016-09-15T00:00:00Z",,"ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/726/435/GCF_001726435.1_ASM172643v1"
"Vibrio parahaemolyticus","Bacteria;Pseudomonadota;Gammaproteobacteria","GCSL_R99","SAMN02368261","PRJNA273159","GCA_001726985.1","Contig",5.12056,45.2,,"MIRX01",96,4548,"2016-09-15T00:00:00Z",,"ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/726/985/GCF_001726985.1_ASM172698v1"
"Vibrio parahaemolyticus","Bacteria;Pseudomonadota;Gammaproteobacteria","ATC220","SAMN02781334","PRJNA233509","GCA_001270975.1","Scaffold",5.14513,45.3,,"LFUQ01",19,4488,"2015-08-19T00:00:00Z",,"ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/270/975/GCF_001270975.1_ASM127097v1"
"Vibrio parahaemolyticus","Bacteria;Pseudomonadota;Gammaproteobacteria","GCSL_R109","SAMN02368263","PRJNA273159","GCA_001727025.1","Contig",5.1243,45.2,,"MIRZ01",93,4554,"2016-09-15T00:00:00Z",,"ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/727/025/GCF_001727025.1_ASM172702v1"
"Vibrio parahaemolyticus","Bacteria;Pseudomonadota;Gammaproteobacteria","GCSL_R108","SAMN03358823","PRJNA273159","GCA_001726975.1","Contig",5.15616,45.2,,"MIRY01",93,4601,"2016-09-15T00:00:00Z",,"ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/726/975/GCF_001726975.1_ASM172697v1"
"Vibrio parahaemolyticus","Bacteria;Pseudomonadota;Gammaproteobacteria","MSR16","SAMN10426750","PRJNA505599","GCA_009738005.1","Scaffold",5.39374,45.1,,"RPDA01",106,4895,"2019-12-09T00:00:00Z",,"ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/009/738/005/GCF_009738005.1_ASM973800v1"
"Vibrio parahaemolyticus","Bacteria;Pseudomonadota;Gammaproteobacteria","CFSAN018766","SAMN03941074","PRJNA245882","GCA_001696215.1","Contig",5.04375,45.3,,"LHBI01",60,4484,"2016-07-28T00:00:00Z",,"ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/696/215/GCF_001696215.1_ASM169621v1"
"Vibrio parahaemolyticus","Bacteria;Pseudomonadota;Gammaproteobacteria","ICDC-VP01814","SAMN15294484","PRJNA639932","GCA_019685675.1","Scaffold",5.14609,45.3,,"JABWSE01",41,4434,"2021-08-18T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/019/685/675/GCA_019685675.1_ASM1968567v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/019/685/675/GCF_019685675.1_ASM1968567v1"
"Vibrio parahaemolyticus","Bacteria;Pseudomonadota;Gammaproteobacteria","JX-FB-vp22","SAMN26343545","PRJNA811553","GCA_030028665.1","Contig",5.21014,45.2,,"JAKWFW01",46,4658,"2023-05-17T00:00:00Z",,"ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/030/028/665/GCF_030028665.1_ASM3002866v1"
"Vibrio parahaemolyticus","Bacteria;Pseudomonadota;Gammaproteobacteria","ICDC-VP01786","SAMN15294467","PRJNA639932","GCA_019686095.1","Scaffold",5.15462,45.3,,"JABWSV01",38,4438,"2021-08-18T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/019/686/095/GCA_019686095.1_ASM1968609v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/019/686/095/GCF_019686095.1_ASM1968609v1"
"Vibrio parahaemolyticus","Bacteria;Pseudomonadota;Gammaproteobacteria","GZ20041","SAMN29856453","PRJNA860711","GCA_024505365.1","Scaffold",5.29992,45.4,,"JANIBA01",781,4789,"2022-08-01T00:00:00Z",,"ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/024/505/365/GCF_024505365.1_ASM2450536v1"
"Vibrio parahaemolyticus","Bacteria;Pseudomonadota;Gammaproteobacteria","GZ20072","SAMN29856463","PRJNA860711","GCA_024505265.1","Scaffold",5.37205,45.3,,"JANIAW01",1075,4792,"2022-08-01T00:00:00Z",,"ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/024/505/265/GCF_024505265.1_ASM2450526v1"
"Vibrio parahaemolyticus","Bacteria;Pseudomonadota;Gammaproteobacteria","JX-FB-vp39","SAMN26343537","PRJNA811553","GCA_030028895.1","Contig",5.10028,45.3,,"JAKWGD01",42,4518,"2023-05-17T00:00:00Z",,"ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/030/028/895/GCF_030028895.1_ASM3002889v1"
"Vibrio parahaemolyticus","Bacteria;Pseudomonadota;Gammaproteobacteria","A4_6","SAMN07337873","PRJNA393608","GCA_006377295.1","Contig",5.01009,45.4,,"NNQD01",110,4546,"2019-06-19T00:00:00Z",,"ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/006/377/295/GCF_006377295.1_ASM637729v1"
"Vibrio parahaemolyticus","Bacteria;Pseudomonadota;Gammaproteobacteria","164-16","SAMN12364846","PRJNA556706","GCA_009991685.1","Contig",5.1173,45.3,,"VTGI01",57,4472,"2020-01-29T00:00:00Z",,"ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/009/991/685/GCF_009991685.1_ASM999168v1"
"Vibrio parahaemolyticus","Bacteria;Pseudomonadota;Gammaproteobacteria","K23","SAMN03735013","PRJNA285022","GCA_001497485.1","Scaffold",5.09055,45.3,,"LQGU01",74,4559,"2016-01-05T00:00:00Z",,"ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/497/485/GCF_001497485.1_ASM149748v1"
"Vibrio parahaemolyticus","Bacteria;Pseudomonadota;Gammaproteobacteria","CFSAN007449","SAMN02741385","PRJNA245882","GCA_000707745.2","Contig",5.11932,45.3,,"JNTG02",55,4533,"2014-06-13T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/707/745/GCA_000707745.2_ASM70774v2","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/707/745/GCF_000707745.2_ASM70774v2"
"Vibrio parahaemolyticus","Bacteria;Pseudomonadota;Gammaproteobacteria","CFSAN006133","SAMN02741362","PRJNA245882","GCA_000707865.2","Contig",5.09087,45.3,,"JNTP02",52,4572,"2014-06-13T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/707/865/GCA_000707865.2_ASM70786v2","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/707/865/GCF_000707865.2_ASM70786v2"
"Vibrio parahaemolyticus","Bacteria;Pseudomonadota;Gammaproteobacteria","MAVP-14","SAMN06917271","PRJNA263814","GCA_002221165.1","Contig",5.14065,45.2,,"NJAP01",180,4597,"2017-07-18T00:00:00Z",,"ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/221/165/GCF_002221165.1_ASM222116v1"
"Vibrio parahaemolyticus","Bacteria;Pseudomonadota;Gammaproteobacteria","MEVP14","SAMN05713801","PRJNA263814","GCA_002221325.1","Contig",5.14045,45.2,,"NJHI01",180,4595,"2017-07-18T00:00:00Z",,"ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/221/325/GCF_002221325.1_ASM222132v1"
"Vibrio parahaemolyticus","Bacteria;Pseudomonadota;Gammaproteobacteria","GCSL_R8","SAMN02368225","PRJNA273159","GCA_001726185.1","Contig",5.20093,45.2,,"MIQL01",119,4704,"2016-09-15T00:00:00Z",,"ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/726/185/GCF_001726185.1_ASM172618v1"
"Vibrio parahaemolyticus","Bacteria;Pseudomonadota;Gammaproteobacteria","SDA1","SAMN12671085","PRJNA563263","GCA_009647705.1","Contig",5.34556,45.3,,"WIBB01",67,4692,"2019-11-10T00:00:00Z",,"ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/009/647/705/GCF_009647705.1_ASM964770v1"
"Vibrio parahaemolyticus","Bacteria;Pseudomonadota;Gammaproteobacteria","BI-6G","SAMN15597509","PRJNA647777","GCA_024530935.1","Contig",5.12141,45.3,,"JACENT01",37,4631,"2022-08-04T00:00:00Z",,"ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/024/530/935/GCF_024530935.1_ASM2453093v1"
"Vibrio parahaemolyticus","Bacteria;Pseudomonadota;Gammaproteobacteria","GCSL_R7","SAMN02368224","PRJNA273159","GCA_001726195.1","Contig",5.0528,45.3,,"MIQK01",138,4540,"2016-09-15T00:00:00Z",,"ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/726/195/GCF_001726195.1_ASM172619v1"
"Vibrio parahaemolyticus","Bacteria;Pseudomonadota;Gammaproteobacteria","CFSAN007431","SAMN02741367","PRJNA245882","GCA_000707385.2","Contig",5.21764,45.2,,"JNSO02",65,4759,"2014-06-13T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/707/385/GCA_000707385.2_ASM70738v2","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/707/385/GCF_000707385.2_ASM70738v2"
"Vibrio parahaemolyticus","Bacteria;Pseudomonadota;Gammaproteobacteria","MAVP75","SAMN05578018","PRJNA263814","GCA_002209785.1","Contig",5.17119,45.2,,"MDWZ01",46,4689,"2017-06-27T00:00:00Z",,"ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/209/785/GCF_002209785.1_ASM220978v1"
"Vibrio parahaemolyticus","Bacteria;Pseudomonadota;Gammaproteobacteria","CFSAN007430","SAMN02741366","PRJNA245882","GCA_000707425.2","Contig",5.15148,45.2,,"JNSN02",55,4689,"2014-06-13T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/707/425/GCA_000707425.2_ASM70742v2","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/707/425/GCF_000707425.2_ASM70742v2"
"Vibrio parahaemolyticus","Bacteria;Pseudomonadota;Gammaproteobacteria","CFSAN007435","SAMN02741371","PRJNA245882","GCA_000707505.2","Contig",5.13741,45.2,,"JNSS02",65,4667,"2014-06-13T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/707/505/GCA_000707505.2_ASM70750v2","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/707/505/GCF_000707505.2_ASM70750v2"
"Vibrio parahaemolyticus","Bacteria;Pseudomonadota;Gammaproteobacteria","C7_9","SAMN07338031","PRJNA393608","GCA_006373175.1","Contig",5.24366,45.3,,"NNKB01",80,4719,"2019-06-19T00:00:00Z",,"ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/006/373/175/GCF_006373175.1_ASM637317v1"
"Vibrio parahaemolyticus","Bacteria;Pseudomonadota;Gammaproteobacteria","C1_10","SAMN07337971","PRJNA393608","GCA_006374305.1","Contig",5.20365,45.2,,"NNMJ01",98,4638,"2019-06-19T00:00:00Z",,"ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/006/374/305/GCF_006374305.1_ASM637430v1"
"Vibrio parahaemolyticus","Bacteria;Pseudomonadota;Gammaproteobacteria","16-VB00204","SAMN16057386","PRJNA661408","GCA_020740915.1","Contig",5.34498,45.1,,"JACVHI01",96,4825,"2021-11-04T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/020/740/915/GCA_020740915.1_ASM2074091v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/020/740/915/GCF_020740915.1_ASM2074091v1"
"Vibrio parahaemolyticus","Bacteria;Pseudomonadota;Gammaproteobacteria","G1","SAMN12364839","PRJNA556706","GCA_009991445.1","Contig",5.23482,45.2,,"VTGP01",214,4609,"2020-01-29T00:00:00Z",,"ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/009/991/445/GCF_009991445.1_ASM999144v1"
"Vibrio parahaemolyticus","Bacteria;Pseudomonadota;Gammaproteobacteria","GZ20070","SAMN29856461","PRJNA860711","GCA_024505225.1","Scaffold",5.32041,45.3,,"JANIAX01",965,4738,"2022-08-01T00:00:00Z",,"ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/024/505/225/GCF_024505225.1_ASM2450522v1"
"Vibrio parahaemolyticus","Bacteria;Pseudomonadota;Gammaproteobacteria","04-2551","SAMN03452289","PRJNA275536","GCA_000975195.1","Scaffold",5.18761,45.4,,"LASF01",85,4625,"2015-04-21T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/975/195/GCA_000975195.1_ASM97519v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/975/195/GCF_000975195.1_ASM97519v1"
"Vibrio parahaemolyticus","Bacteria;Pseudomonadota;Gammaproteobacteria","CDC_K5276","SAMN02368307","PRJNA273159","GCA_001728335.1","Contig",5.16847,45.2,,"MITW01",136,4697,"2016-09-15T00:00:00Z",,"ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/728/335/GCF_001728335.1_ASM172833v1"
"Vibrio parahaemolyticus","Bacteria;Pseudomonadota;Gammaproteobacteria","CDC_K5582","SAMN02368336","PRJNA273159","GCA_001728645.1","Contig",5.17433,45.2,,"MIVC01",104,4705,"2016-09-15T00:00:00Z",,"ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/728/645/GCF_001728645.1_ASM172864v1"
"Vibrio parahaemolyticus","Bacteria;Pseudomonadota;Gammaproteobacteria","VP160535","SAMN09742602","PRJNA483379","GCA_006382925.1","Scaffold",5.14252,45.2,,"QRRL01",60,4632,"2019-06-20T00:00:00Z",,"ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/006/382/925/GCF_006382925.1_ASM638292v1"
"Vibrio parahaemolyticus","Bacteria;Pseudomonadota;Gammaproteobacteria","CFSAN025064","SAMN04145927","PRJNA245882","GCA_001633995.1","Contig",5.13012,45.2,,"LKQM01",40,4512,"2016-04-28T00:00:00Z",,"ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/633/995/GCF_001633995.1_ASM163399v1"
"Vibrio parahaemolyticus","Bacteria;Pseudomonadota;Gammaproteobacteria","D7_4","SAMN07338075","PRJNA393608","GCA_006372095.1","Contig",5.11599,45.2,,"NNIJ01",143,4644,"2019-06-19T00:00:00Z",,"ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/006/372/095/GCF_006372095.1_ASM637209v1"
"Vibrio parahaemolyticus","Bacteria;Pseudomonadota;Gammaproteobacteria","RM-89-6","SAMN28767274","PRJNA843722","GCA_024743615.1","Contig",5.26807,45.2,,"JAMQXR01",54,4739,"2022-08-25T00:00:00Z",,"ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/024/743/615/GCF_024743615.1_ASM2474361v1"
"Vibrio parahaemolyticus","Bacteria;Pseudomonadota;Gammaproteobacteria","ISF-54-12","SAMN03799834","PRJNA288141","GCA_001280635.1","Scaffold",5.04136,45.4,,"LIRR01",74,4487,"2015-09-09T00:00:00Z",,"ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/280/635/GCF_001280635.1_ASM128063v1"
"Vibrio parahaemolyticus","Bacteria;Pseudomonadota;Gammaproteobacteria","VP161544","SAMEA112324429","PRJEB39490","GCA_948193415.1","Contig",5.1704,45.2,,"CANUIJ01",53,0,"2023-01-14T00:00:00Z",,"ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/948/193/415/GCF_948193415.1_VP161544"
"Vibrio parahaemolyticus","Bacteria;Pseudomonadota;Gammaproteobacteria","Vb2004","SAMN14524723","PRJNA622672","GCA_012955625.1","Scaffold",5.81414,45.3,,"JABCMD01",1102,5367,"2020-05-03T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/012/955/625/GCA_012955625.1_ASM1295562v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/012/955/625/GCF_012955625.1_ASM1295562v1"
"Vibrio parahaemolyticus","Bacteria;Pseudomonadota;Gammaproteobacteria","Vb1839","SAMN14524721","PRJNA622672","GCA_012955635.1","Scaffold",5.84226,45.2,,"JABCMB01",1342,5442,"2020-05-03T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/012/955/635/GCA_012955635.1_ASM1295563v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/012/955/635/GCF_012955635.1_ASM1295563v1"
"Vibrio parahaemolyticus","Bacteria;Pseudomonadota;Gammaproteobacteria","SA2D2","SAMN12671088","PRJNA563265","GCA_009647755.1","Contig",5.34117,45.1,,"WIBC01",80,4703,"2019-11-10T00:00:00Z",,"ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/009/647/755/GCF_009647755.1_ASM964775v1"
"Vibrio parahaemolyticus","Bacteria;Pseudomonadota;Gammaproteobacteria","C150","SAMN04358201","PRJNA304021","GCA_001601695.1","Contig",5.20986,45.2,,"LPVU01",53,4722,"2016-03-29T00:00:00Z",,"ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/601/695/GCF_001601695.1_ASM160169v1"
"Vibrio parahaemolyticus","Bacteria;Pseudomonadota;Gammaproteobacteria","C142","SAMN04358132","PRJNA304021","GCA_001609375.1","Contig",5.2109,45.2,,"LPVA01",52,4715,"2016-04-04T00:00:00Z",,"ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/609/375/GCF_001609375.1_ASM160937v1"
"Vibrio parahaemolyticus","Bacteria;Pseudomonadota;Gammaproteobacteria","GCSL_R63","SAMN02368248","PRJNA273159","GCA_001726735.1","Contig",5.12515,45.2,,"MIRL01",102,4557,"2016-09-15T00:00:00Z",,"ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/726/735/GCF_001726735.1_ASM172673v1"
"Vibrio parahaemolyticus","Bacteria;Pseudomonadota;Gammaproteobacteria","GCSL_R54","SAMN02368241","PRJNA273159","GCA_001726595.1","Contig",5.18949,45.1,,"MIRE01",96,4607,"2016-09-15T00:00:00Z",,"ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/726/595/GCF_001726595.1_ASM172659v1"
"Vibrio parahaemolyticus","Bacteria;Pseudomonadota;Gammaproteobacteria","B2_3","SAMN07337900","PRJNA393608","GCA_006376915.1","Contig",5.27176,45,,"NNPC01",214,4839,"2019-06-19T00:00:00Z",,"ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/006/376/915/GCF_006376915.1_ASM637691v1"
"Vibrio parahaemolyticus","Bacteria;Pseudomonadota;Gammaproteobacteria","CFSAN001604","SAMN03945131","PRJNA245882","GCA_002198055.1","Contig",5.09171,45.3,,"LHRA01",70,4572,"2017-06-19T00:00:00Z",,"ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/198/055/GCF_002198055.1_ASM219805v1"
"Vibrio parahaemolyticus","Bacteria;Pseudomonadota;Gammaproteobacteria","ISF-242-9","SAMN28767374","PRJNA843723","GCA_024745115.1","Contig",5.24614,45.2,,"JANFRY01",50,4713,"2022-08-26T00:00:00Z",,"ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/024/745/115/GCF_024745115.1_ASM2474511v1"
"Vibrio parahaemolyticus","Bacteria;Pseudomonadota;Gammaproteobacteria","HS-06-05_1","SAMN05301509","PRJNA327110","GCA_002144625.1","Contig",5.05298,45.4,,"MBPC01",41,4486,"2017-05-16T00:00:00Z",,"ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/144/625/GCF_002144625.1_ASM214462v1"
"Vibrio parahaemolyticus","Bacteria;Pseudomonadota;Gammaproteobacteria","16-VB00220","SAMN17384693","PRJNA693303","GCA_022802095.1","Scaffold",5.11708,45.3,,"JAESOS01",68,4574,"2022-04-01T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/022/802/095/GCA_022802095.1_ASM2280209v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/022/802/095/GCF_022802095.1_ASM2280209v1"
"Vibrio parahaemolyticus","Bacteria;Pseudomonadota;Gammaproteobacteria","06-043","SAMN05194681","PRJNA324078","GCA_001856035.1","Contig",5.32062,45.1,,"MBDQ01",54,4810,"2016-10-28T00:00:00Z",,"ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/856/035/GCF_001856035.1_ASM185603v1"
"Vibrio parahaemolyticus","Bacteria;Pseudomonadota;Gammaproteobacteria","CFSAN025066","SAMN04145929","PRJNA245882","GCA_001633855.1","Contig",5.13232,45.2,,"LKQO01",39,4506,"2016-04-28T00:00:00Z",,"ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/633/855/GCF_001633855.1_ASM163385v1"
